GEOID20,tot_pop_20,bpop_20,hpop_20,asian_nhpi_pop_20,amin_pop_20,other_pop_20,white_pop_20,STATEFP,STATE
13107,22768,7556,936,161,223,77,13815,13,GA
13109,10774,3273,1190,104,107,62,6038,13,GA
13111,25319,199,740,168,666,195,23351,13,GA
13113,119194,32076,8612,7454,1423,1485,68144,13,GA
13115,98584,15606,11163,1691,1630,747,67747,13,GA
13117,251283,13222,24505,47818,3011,3320,159407,13,GA
13119,23424,2207,1085,311,389,170,19262,13,GA
13121,1066710,477624,76806,89655,5994,11838,404793,13,GA
13123,31353,296,3547,198,721,226,26365,13,GA
13125,2884,226,40,16,26,3,2573,13,GA
13127,84499,22098,5913,1650,1121,730,52987,13,GA
13129,57544,2919,8735,909,1257,407,43317,13,GA
13131,26236,7693,3132,156,393,147,14715,13,GA
13133,18915,6027,1238,228,162,134,11126,13,GA
13135,957062,287687,207530,134619,6849,9794,310583,13,GA
13137,46031,2165,6802,1203,861,306,34694,13,GA
13139,203136,17006,56045,5184,2858,1625,120418,13,GA
13141,8735,6131,55,52,72,12,2413,13,GA
13143,29919,1541,488,261,590,214,26825,13,GA
13145,34668,5742,1298,707,665,331,25925,13,GA
13147,25828,4732,904,419,352,171,19250,13,GA
13149,11412,1142,220,81,300,80,9589,13,GA
13151,240712,125211,15350,9215,2329,2310,86297,13,GA
13153,163633,56520,10560,6642,2261,1439,86211,13,GA
13155,9666,2333,636,144,113,38,6402,13,GA
13157,75907,6148,6498,2173,1378,646,59064,13,GA
13159,14588,2676,637,59,323,122,10771,13,GA
13161,14779,2493,2020,70,165,81,9950,13,GA
13163,15709,8208,442,95,75,55,6834,13,GA
13165,8674,3638,282,28,80,35,4611,13,GA
13167,9189,3124,94,56,97,18,5800,13,GA
13169,28347,7114,428,200,371,160,20074,13,GA
13171,18500,5220,432,168,228,108,12344,13,GA
13173,9877,2369,524,131,150,108,6595,13,GA
13175,49570,19132,1250,619,464,224,27881,13,GA
